SrNO,first name,last name,age,product,price,q,total,city,date
375,Joshua,Harris,30,processor,90000,10,900000,Ahmedabad,9/6/2023
376,Sandi,Massey,17,processor,90000,6,540000,pune,31/4/2023
377,Frank,Hedgespeth,35,handfree,150,10,1500,Ahmedabad,6/6/2023
378,Thomas,Mueller,43,RGB Fan,120000,8,960000,mumbai,7/3/2023
379,Philip,Alonso,43,processor,90000,9,810000,Ahmedabad,9/7/2023
380,Dorothy,Washington,30,phone,150000,8,1200000,hydrabad,22/4/2023
381,Mary,Harwell,25,phone,150000,10,1500000,delhi,15/8/2023
382,Kenneth,Grandfield,39,phone,150000,1,150000,hydrabad,30/8/2023
383,Joe,Mclain,30,phone,150000,2,300000,Ahmedabad,20/6/2023
384,Eric,Tauras,41,RGB Fan,120000,4,480000,mumbai,3/8/2023
385,Tasha,Wright,18,handfree,150,7,1050,mumbai,19/7/2023
386,Maria,Whitson,29,laptop,50000,10,500000,delhi,7/10/2023
387,Jessica,Pace,37,charger,20000,5,100000,Ahmedabad,5/5/2023
388,Josephine,Beard,12,laptop,50000,9,450000,hydrabad,28/7/2023
389,Shane,Lira,43,RGB Fan,120000,5,600000,pune,15/9/2023
390,Louise,Alatorre,12,charger,20000,9,180000,Ahmedabad,29/1/2023
391,Laura,Hines,42,charger,20000,7,140000,pune,15/6/2023
392,Stephanie,Pena,40,laptop,50000,10,500000,delhi,26/6/2023
393,Ted,Brown,36,phone,150000,9,1350000,mumbai,13/3/2023
394,Keisha,Brown,15,phone,150000,10,1500000,pune,11/6/2023
395,Rita,Johnson,15,processor,90000,10,900000,Ahmedabad,30/8/2023
396,Nathan,Brun,26,processor,90000,6,540000,Ahmedabad,30/10/2023
397,Edwin,Fields,21,laptop,50000,7,350000,pune,15/3/2023
398,Rose,Lasenby,18,handfree,150,1,150,Ahmedabad,2/6/2023
399,Grace,Dortch,14,laptop,50000,5,250000,mumbai,16/2/2023
400,Joshua,Batie,21,handfree,150,10,1500,delhi,17/7/2023
401,Luke,Cota,12,processor,90000,3,270000,mumbai,19/6/2023
402,Elizabeth,Doss,12,processor,90000,3,270000,delhi,12/2/2023
403,Randy,Lambert,21,charger,20000,6,120000,hydrabad,15/9/2023
404,Faye,Johnson,29,processor,90000,4,360000,delhi,4/9/2023
405,Daniel,Mcgibbon,42,RGB Fan,120000,8,960000,Ahmedabad,14/10/2023
406,Bruce,Sorrell,43,phone,150000,7,1050000,Ahmedabad,8/3/2023
407,Jarrett,Douglas,12,laptop,50000,6,300000,pune,7/9/2023
408,Paula,Marcolina,17,phone,150000,4,600000,pune,23/11/2023
409,Kelley,Bretthauer,27,handfree,150,1,150,hydrabad,26/3/2023
410,Virginia,Freidman,20,handfree,150,9,1350,Ahmedabad,2/8/2023
411,Alexis,Krauss,23,processor,90000,1,90000,delhi,27/11/2023
412,Raymond,Knight,44,handfree,150,8,1200,delhi,7/3/2023
413,Gerald,Martinez,19,charger,20000,6,120000,Ahmedabad,18/1/2023
414,John,Sturm,14,phone,150000,4,600000,hydrabad,2/1/2023
415,Joe,Lopez,33,handfree,150,2,300,hydrabad,24/5/2023
416,Juan,Rodriguez,15,laptop,50000,6,300000,delhi,8/7/2023
417,Christopher,Antoine,18,handfree,150,2,300,hydrabad,10/2/2023
418,Maureen,Roney,36,phone,150000,2,300000,mumbai,29/6/2023
419,Mary,Freeman,36,processor,90000,3,270000,hydrabad,5/11/2023
420,Dale,Fuchs,23,processor,90000,1,90000,pune,15/10/2023
421,Walter,Gutierrez,16,handfree,150,1,150,mumbai,14/4/2023
422,Lisa,Obrien,39,handfree,150,8,1200,Ahmedabad,27/3/2023
423,Otilia,Sullivan,31,handfree,150,7,1050,mumbai,3/10/2023
424,Rosella,Patrick,38,laptop,50000,7,350000,pune,31/11/2023
425,Tammy,Schreffler,44,processor,90000,6,540000,delhi,18/3/2023
426,Joseph,Parker,22,charger,20000,5,100000,mumbai,13/1/2023
427,Sam,Davis,14,laptop,50000,2,100000,mumbai,15/10/2023
428,Jane,Patrick,30,laptop,50000,3,150000,delhi,11/4/2023
429,Damian,Boyd,26,phone,150000,7,1050000,pune,11/4/2023
430,Keith,Williams,41,RGB Fan,120000,9,1080000,delhi,24/9/2023
431,David,West,38,processor,90000,7,630000,Ahmedabad,26/11/2023
432,Deborah,Glaser,40,RGB Fan,120000,6,720000,pune,24/11/2023
433,Joseph,Malizia,33,laptop,50000,8,400000,mumbai,21/9/2023
434,Bobbie,Brown,45,laptop,50000,8,400000,pune,6/11/2023
435,Kathy,Raphael,26,RGB Fan,120000,1,120000,mumbai,20/5/2023
436,Marie,Johnston,35,charger,20000,6,120000,hydrabad,10/11/2023
437,John,Clark,23,handfree,150,2,300,pune,18/4/2023
438,Saundra,Mons,31,RGB Fan,120000,1,120000,Ahmedabad,18/4/2023
439,Joyce,Ralph,28,phone,150000,5,750000,hydrabad,6/5/2023
440,Eldon,Gustafson,12,phone,150000,4,600000,mumbai,7/5/2023
441,Tommie,Gonzalez,44,handfree,150,8,1200,hydrabad,31/6/2023
442,Jane,Magee,28,RGB Fan,120000,9,1080000,hydrabad,5/7/2023
443,Thomas,Alfred,33,charger,20000,6,120000,mumbai,28/1/2023
444,Christine,Hill,40,laptop,50000,1,50000,delhi,5/6/2023
445,Georgia,Fears,37,handfree,150,2,300,pune,6/2/2023
446,Angela,Oneal,24,handfree,150,9,1350,pune,14/6/2023
447,Marcell,King,19,charger,20000,1,20000,delhi,30/11/2023
448,Andrea,Peterson,40,phone,150000,3,450000,Ahmedabad,11/6/2023
449,Stephanie,Dodd,32,phone,150000,4,600000,Ahmedabad,7/11/2023
450,Bruce,Pettis,16,handfree,150,7,1050,Ahmedabad,27/5/2023
451,Shelia,Cox,35,RGB Fan,120000,1,120000,Ahmedabad,24/10/2023
452,Jesse,Kampa,28,RGB Fan,120000,1,120000,Ahmedabad,27/5/2023
453,Winona,Absher,40,handfree,150,5,750,delhi,9/8/2023
454,Edward,Madison,31,phone,150000,5,750000,hydrabad,12/6/2023
455,Jamie,Medeiros,17,RGB Fan,120000,2,240000,pune,26/6/2023
456,Christine,Longwell,24,charger,20000,8,160000,delhi,9/2/2023
457,Gene,Lopez,36,handfree,150,5,750,mumbai,3/8/2023
458,Melissa,Haynes,19,phone,150000,9,1350000,pune,29/6/2023
459,Linda,Padilla,16,phone,150000,8,1200000,hydrabad,8/8/2023
460,Joshua,Crepeau,14,handfree,150,8,1200,delhi,29/10/2023
461,Emmanuel,Bland,20,processor,90000,7,630000,Ahmedabad,28/7/2023
462,Maria,Gray,14,charger,20000,9,180000,hydrabad,20/7/2023
463,William,Persaud,12,charger,20000,9,180000,pune,24/8/2023
464,Joseph,Simmons,30,handfree,150,3,450,hydrabad,22/7/2023
465,Ingrid,Williams,40,phone,150000,4,600000,Ahmedabad,27/9/2023
466,Mark,Webster,23,charger,20000,4,80000,mumbai,13/1/2023
467,Lynne,Bigelow,22,processor,90000,10,900000,pune,28/6/2023
468,Bobbi,Jarrett,20,handfree,150,10,1500,mumbai,27/7/2023
469,Vanessa,Allison,22,processor,90000,8,720000,mumbai,26/7/2023
470,Charlene,Collins,33,handfree,150,7,1050,hydrabad,19/8/2023
471,Rose,Lindo,33,phone,150000,10,1500000,pune,4/7/2023
472,Charles,Thomas,42,laptop,50000,2,100000,mumbai,24/3/2023
473,Joan,Lawson,20,RGB Fan,120000,8,960000,hydrabad,11/9/2023
474,Francis,Mcgee,23,processor,90000,5,450000,pune,26/4/2023
475,Donald,Labarge,19,processor,90000,4,360000,delhi,20/11/2023
476,Karen,Reeves,22,phone,150000,8,1200000,mumbai,23/2/2023
477,Juan,Latigo,32,charger,20000,4,80000,hydrabad,4/4/2023
478,Arthur,Knight,30,charger,20000,2,40000,hydrabad,22/3/2023
479,Elizabeth,Hennings,39,handfree,150,3,450,mumbai,12/7/2023
480,David,Feth,39,processor,90000,6,540000,Ahmedabad,3/2/2023
481,Erin,Richards,30,processor,90000,5,450000,mumbai,6/5/2023
482,Timothy,Myers,16,RGB Fan,120000,1,120000,delhi,6/5/2023
483,Robin,Sterner,17,laptop,50000,3,150000,Ahmedabad,17/1/2023
484,Derrick,Keith,41,RGB Fan,120000,9,1080000,delhi,20/9/2023
485,Marion,Majors,24,phone,150000,5,750000,hydrabad,6/2/2023
486,Heather,Duarte,29,charger,20000,2,40000,hydrabad,22/8/2023
487,Elsie,Martin,36,handfree,150,10,1500,mumbai,10/3/2023
488,Grace,Cottrell,12,laptop,50000,2,100000,Ahmedabad,1/5/2023
489,Nellie,Roberts,14,charger,20000,9,180000,mumbai,22/3/2023
490,Thomas,Irwin,27,laptop,50000,2,100000,delhi,11/9/2023
491,Mary,Kavanagh,12,phone,150000,10,1500000,delhi,24/2/2023
492,Sadie,Williams,30,RGB Fan,120000,8,960000,delhi,26/4/2023
493,Bobbie,Johnson,41,processor,90000,5,450000,Ahmedabad,25/8/2023
494,William,Turpin,18,phone,150000,10,1500000,mumbai,8/4/2023
495,Rafael,Williams,39,phone,150000,6,900000,pune,23/4/2023
496,Clara,Jackson,25,processor,90000,10,900000,pune,11/10/2023
497,Franklin,Harms,38,laptop,50000,2,100000,pune,10/2/2023
498,Barbara,Mott,36,phone,150000,1,150000,delhi,25/11/2023
499,Lucio,Letarte,20,laptop,50000,8,400000,pune,30/5/2023
500,Ryan,Novak,29,charger,20000,10,200000,delhi,13/6/2023
